expected,kw,tld,hl,importance,pos,url,pos1,pos2
https://altimood.com/seminaire-rando,séminaire rando,fr,fr,,,https://altimood.com/seminaire-rando,,1
https://altimood.com/randonner-leger,stage randonner léger,fr,fr,,,,,2
https://altimood.com/location-raquette,location raquette champsaur,fr,fr,,,https://altimood.com/location-raquette,,3
https://altimood.com/liste-materiel-bivouac-hiver,liste matériel bivouac hiver,fr,fr,,,https://altimood.com/liste-materiel-bivouac-hiver,,4
https://altimood.com/liste-materiel-bivouac,liste matériel bivouac hiver,fr,fr,,,https://altimood.com/liste-materiel-bivouac-hiver,,4
https://altimood.com/stage-bivouac-neige,stage bivouac neige,fr,fr,,,https://altimood.com/stage-bivouac-neige,,5
https://altimood.com/carte-cadeau-montagne,carte cadeau montagne,fr,fr,,,https://altimood.com/carte-cadeau-montagne,,5
https://altimood.com/escape-game-gap,escape game champsaur,fr,fr,,,https://altimood.com/escape-game-gap,,5
https://altimood.com/grand-tour-ecrins,grand tour des écrins en 7 jours,fr,fr,,,https://altimood.com/grand-tour-ecrins,,6
https://altimood.com/stage-orientation-rando,stage orientation rando,fr,fr,,,https://altimood.com/stage-orientation-rando,,6
https://altimood.com/stage-initiation-bivouac,stage initiation bivouac ,fr,fr,,,https://altimood.com/bivouac-montagne,,7
https://altimood.com/bivouac-ane,ane bivouac alpes,fr,fr,,,https://altimood.com/anes-alpes,,9
https://altimood.com/igloo,igloo hautes alpes,fr,fr,,,https://altimood.com/igloo,,9
https://altimood.com/guide-rando-valgo,accompagnateur montagne valgaudemar,fr,fr,,,https://altimood.com/accompagnateur-montagne,,10
https://altimood.com/igloo-devoluy,igloo dévoluy,fr,fr,,,https://altimood.com/igloo,,10
https://altimood.com/accompagnateur-montagne,accompagnateur montagne hautes alpes,fr,fr,,,https://altimood.com/accompagnateur-montagne,,10
https://altimood.com/tour-vieux-chaillol,tour du vieux chaillol en 6 jours,fr,fr,,,https://altimood.com/tour-vieux-chaillol,,11
https://altimood.com/initiation-raquette,initiation raquette alpes du sud,fr,fr,,,https://altimood.com/initiation-raquette,,12
https://altimood.com/week-end-raquette-alpes,Week-end raquette alpes,fr,fr,,,https://altimood.com/week-end-raquette-alpes,,12
https://altimood.com/week-end-rando-alpes,week end rando alpes,fr,fr,,,https://altimood.com/week-end-rando-alpes,,12
https://altimood.com/apprendre-lire-carte-ign,apprendre à lire une carte ign,fr,fr,,,https://altimood.com/apprendre-lire-carte-ign,,18
https://altimood.com/igloo-champsaur,igloo champsaur,fr,fr,,,https://altimood.com/igloo,,19
https://altimood.com/valgaudemar-enneigement,enneigement valgaudemar,fr,fr,,,https://altimood.com/location-raquette,,27
https://altimood.com/hotel,hôtel randonnée alpes,fr,fr,,,https://altimood.com/hotel,,27
https://altimood.com/stage-nature,stage nature,fr,fr,,,https://altimood.com/stage-nature,,28
https://altimood.com/rocher-rond,rocher rond,fr,fr,,,https://altimood.com/rocher-rond,,29
https://altimood.com/rando-accompagnee-alpes,rando accompagnée alpes,fr,fr,,,https://altimood.com/rando-accompagnee-alpes,,29
https://altimood.com/raquette-champsaur,raquette champsaur,fr,fr,,,https://altimood.com/location-raquette,,35
https://altimood.com/raquette,raquette alpes du sud,fr,fr,,,https://altimood.com/week-end-raquette-alpes,,36
https://altimood.com/stage-initiation-bivouac,stage bivouac,fr,fr,,,https://altimood.com/bivouac-montagne,,39
https://altimood.com/hotel-raquette,hotel raquette alpes,fr,fr,,,https://altimood.com/week-end-raquette-alpes,,41
https://altimood.com/sejour-rando-alpes,séjour rando alpes,fr,fr,,,https://altimood.com/week-end-rando-alpes,,45
https://altimood.com/lacs-petarel,lacs pétarel ,fr,fr,,,https://altimood.com/lacs-petarel,,47
https://altimood.com/bivouac-valgaudemar,bivouac valgaudemar,fr,fr,,,https://altimood.com/anes-alpes,,50
https://altimood.com/week-end-refuge,Week-end refuge alpes,fr,fr,,,https://altimood.com/week-end-raquette-alpes,,55
https://altimood.com/week-end-ecrins,Week-end rando écrins,fr,fr,,,https://altimood.com/week-end-rando-alpes,,58
https://altimood.com/rando-pic-queyrel,rando pic queyrel,fr,fr,,,https://altimood.com/lacs-petarel,,60
https://altimood.com/lac-lauzon,lac bleu valgaudemar,fr,fr,,,https://altimood.com/lacs-petarel,,65
https://altimood.com/rando-champsaur-valgaudemar,rando champsaur valgaudemar,fr,fr,,,https://altimood.com/lacs-petarel,,66
https://altimood.com/tour-valgaudemar,tour du valgaudemar,fr,fr,,,https://altimood.com/grand-tour-ecrins,,70
https://altimood.com/team-building-montagne,team building montagne,fr,fr,,,https://altimood.com/seminaire-rando,,74
https://altimood.com/balade-decouverte,balade champsaur valgaudemar,fr,fr,,,https://altimood.com/lacs-petarel,,76
https://altimood.com/cadeau-montagne,idée cadeau randonnée,fr,fr,,,https://altimood.com/cadeau-montagne,,78
https://altimood.com/seminaire-montagne,séminaire montagne,fr,fr,,,https://altimood.com/seminaire-montagne,,80
https://altimood.com/valgaudemar-automne,automne valgaudemar,fr,fr,,,https://altimood.com/lacs-petarel,,85
https://altimood.com/raquette-ecrins,raquette Écrins,fr,fr,,,https://altimood.com/raquette,,96
https://altimood.com/activites-lac-du-sautet,Activités lac du sautet,fr,fr,,,,,
https://altimood.com/lac-valgaudemar,lac valgaudemar,fr,fr,,,,,
https://altimood.com/tour-valgaudemar,tour des refuges du valgaudemar,fr,fr,,,,,
https://altimood.com/lac-lauzon,lac lauzon,fr,fr,,,,,
https://altimood.com/valgaudemar-camping,camping valgaudemar,fr,fr,,,,,
https://altimood.com/hebergement-rando,hébergement rando,fr,fr,,,,,
https://altimood.com/valgaudemar-acces,valgaudemar acces,fr,fr,,,,,
https://altimood.com/valgodemar-carte,carte valgaudemar,fr,fr,,,,,
https://altimood.com/valgaudemar-hiver,hiver valgaudemar,fr,fr,,,,,
https://altimood.com/valgaudemar,valgaudemar,fr,fr,,,,,
https://altimood.com/valgaudemar-photos,photos valgaudemar,fr,fr,,,,,
https://altimood.com/tour-vieux-chaillol,tour du vieux chaillol,fr,fr,,,,,
https://altimood.com/rando-devoluy,rando dévoluy,fr,fr,,,,,
https://altimood.com/liste-nuit-refuge,liste matériel refuge,fr,fr,,,,,
https://altimood.com/activites-famille-nature,activités famille champsaur valgaudemar,fr,fr,,,,,
https://altimood.com/avis-rando,avis champsaur valgaudemar,fr,fr,,,,,
https://altimood.com/vacances-avec-ane,vacances avec un âne,fr,fr,,,,,
https://altimood.com/station-ski-raquette,station de ski raquette,fr,fr,,,,,
https://altimood.com/neige-avalanche,formation avalanche,fr,fr,,,,,
https://altimood.com/raquette-luge,raquette luge,fr,fr,,,,,
https://altimood.com/animaux-hautes-alpes,animaux des hautes alpes,fr,fr,,,,,
https://altimood.com/challenge-montagne,challgenge montagne,fr,fr,,,,,
https://altimood.com/activites-hiver,activité hiver champsaur valgaudemar,fr,fr,,,,,
https://altimood.com/blog-rando,blog rando,fr,fr,,,,,
https://altimood.com/rando-ecrins,rando écrins,fr,fr,,,,,
https://altimood.com/anes-alpes,balade âne alpes,fr,fr,,,,,
https://altimood.com/bivouac-montagne,bivouac montagne,fr,fr,,,,,
