categorie,kw,volume,tld,hl,serpFeature,url,pixelPos,status,tendance,pos,13 sept. 22,30 mars 22,20 mai 2021,?,8 déc 2020,23 nov 20,29 sept 2020,22 sept 2020,12 Sept,1 Sept,Aou 23,Aou 7,Jul 28,Jul 9,Jul 5 2020,Juine 27 2020,Juine 18 2020,May 31 2020,May 9 2020,Apr 22 2020
activité,escape game vercors,0,fr,fr,"KnowledgePanel (1045), PeolpleAlsoAsked (566)",https://piedvert.com/escape-game,184,.,=,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
activité,séjour vercors,1,fr,fr,"Ads (182), ImagePack (18846)",https://piedvert.com/escape-game,687,.,,,2,,,,,,,,,,,,,,,,,,,
activité – neige,escape game raquette,0,fr,fr,"ImagePack (2600), Local Pack (438), PeolpleAlsoAsked (1710)",https://piedvert.com/escape-game-raquette,184,.,=,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
scolaire,sortie maternelle vercors,0,fr,fr,"ImagePack (1938), Local Pack (1211)",https://piedvert.com/sortie-scolaire,184,.,=,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
scolaire,sortie primaire vercors,0,fr,fr,,https://piedvert.com/sortie-scolaire,184,.,=,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
scolaire,projet pédagogique montagne,0,fr,fr,,https://piedvert.com/projet-educatif,184,.,=,,2,2,2,1,1,2,2,2,2,2,2,2,1,2,4,4,4,4,6,7
faune,marmotte vercors,0,fr,fr,"PositionZero (218), PeolpleAlsoAsked (449), Video (1449)",https://piedvert.com/marmotte,312,.,=,,1,1,1,1,1,1,1,1,1,2,2,7,11,13,10,13,13,11,64,
rando,rando famille vercors,0,fr,fr,PeolpleAlsoAsked (969),https://piedvert.com/rando-vercors-famille,184,.,=,,2,2,3,,,,,,,,,,,,,,,,,
scolaire,voyage scolaire vercors,0,fr,fr,Ads (1579),https://piedvert.com/voyage-scolaire,184,.,+,,2,8,4,9,5,5,5,5,5,7,10,17,8,14,16,9,9,9,8,13
faune,chamois vercors,0,fr,fr,"PositionZero (218), PeolpleAlsoAsked (456), Video (1714)",https://piedvert.com/chamois,336,.,=,,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,4,7,7,9,10
territoire,automne vercors,0,fr,fr,"PositionZero (218), Video (1505)",https://piedvert.com/automne-vercors,336,.,=,,1,1,1,1,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
évènement – evg,evjf vercors,0,fr,fr,Ads (1972),https://piedvert.com/evjf-nature,186,.,+,,2,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,9,10
scolaire,éducation environnement vercors,0,fr,fr,PeolpleAlsoAsked (1120),https://piedvert.com/education-environnement,184,.,=,,3,3,2,3,2,3,1,2,2,3,3,4,5,4,3,5,5,4,6,6
territoire,transport commun vercors,0,fr,fr,,https://piedvert.com/mobilite-douce,184,.,+,,3,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,10,8
scolaire,animaux vercors,10,fr,fr,"ImagePack (1419), PositionZero (182), PeolpleAlsoAsked (882), Video (2103)",https://piedvert.com/sortie-nature,339,.,+,,2,3,1,2,2,2,2,3,2,1,4,4,5,8,8,8,9,9,8,75
rando,sommet vercors,110,fr,fr,"ImagePack (1415), KnowledgePanel (940), PeolpleAlsoAsked (665)",https://piedvert.com/sommet-vercors,504,.,=,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
activité,activité nature vercors,0,fr,fr,"Local Pack (1493), PositionZero (182)",https://piedvert.com/activite-nature,390,.,+,,2,3,3,2,2,2,1,2,2,2,3,3,6,6,6,6,13,10,9,14
faune,loup vercors,170,fr,fr,"PositionZero (182), PeolpleAlsoAsked (1073), Video (1879)",https://piedvert.com/loup-vercors,405,.,-,,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,3,3,6
évènement – evg,evjf nature,30,fr,fr,"Ads (2548), PositionZero (218), PeolpleAlsoAsked (1748)",https://piedvert.com/evjf-nature,336,.,=,,3,3,1,1,6,6,7,9,10,10,9,9,8,8,8,8,6,12,15,13
scolaire,sortie scolaire vercors,0,fr,fr,"Ads (1749), PositionZero (182)",https://piedvert.com/sortie-scolaire,446,.,+,,2,6,1,2,2,2,2,2,2,3,5,5,9,9,8,9,9,8,9,8
faune,cerf vercors,0,fr,fr,"PositionZero (218), PeolpleAlsoAsked (991), Video (2014)",https://piedvert.com/brame-cerf,346,.,-,,3,1,1,1,1,1,1,1,2,3,5,9,10,10,10,17,17,17,34,-1
rando – raquette,raquette autrans,70,fr,fr,"PositionZero (218), PeolpleAlsoAsked (823)",https://piedvert.com/raquette-autrans,346,.,=,,3,3,8,10,11,10,11,11,11,11,12,12,11,11,11,11,11,12,12,12
faune,bouquetin vercors,0,fr,fr,"PositionZero (218), PeolpleAlsoAsked (456), Video (1597)",https://piedvert.com/bouquetin,336,.,=,,3,3,1,2,2,2,3,3,3,2,3,4,4,3,-1,5,5,5,15,
scolaire,faune vercors,90,fr,fr,"ImagePack (2414), PositionZero (182), PeolpleAlsoAsked (969)",https://piedvert.com/sortie-nature,339,.,=,,3,3,2,2,2,2,2,2,2,2,2,3,2,5,5,8,9,8,6,10
rando – raquette,location raquette vercors,,fr,fr,Local Pack (178),https://piedvert.com/location-raquette,749,.,=,,1,1,2,2,5,70,53,65,64,62,,,,,,,,,,
métier,moyenne montagne,210,fr,fr,"KnowledgePanel (1355), PeolpleAlsoAsked (488), Video (1761)",https://piedvert.com/moyenne-montagne,187,.,=,,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,8,9
